"user_id","num_sessions","age","gender","married","has_children","home_country","home_city","home_airport","num_trips","num_flights","avg_seats","flight_fare","num_nights","hotel_expenses","time_after_booking","perk_catagory"
"23557","8","65","F","true","false","usa","new york","LGA","2","0","0.00","0.00","20","3670.50","0.00","2.honorable seniors"
"94883","8","52","F","true","false","usa","kansas city","MCI","2","4","1.50","0.00","1","130.00","6.50","4.valued members"
"101486","8","51","F","true","true","usa","tacoma","TCM","2","2","1.00","0.00","8","2199.00","9.00","3.family & friends"
"101961","8","43","F","true","false","usa","boston","BOS","5","10","1.00","44.70","19","2429.00","5.60","1.golden guests"
"106907","8","45","F","true","true","usa","miami","TNT","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"118043","8","52","F","false","true","usa","los angeles","LAX","5","6","2.00","0.00","22","5616.45","8.67","3.family & friends"
"120851","8","51","F","true","true","usa","santa ana","SNA","1","2","1.00","0.00","11","2002.00","7.00","3.family & friends"
"125845","9","40","F","true","false","usa","el paso","BIF","3","6","1.33","603.82","5","689.00","8.33","4.valued members"
"133058","8","19","F","false","false","usa","austin","AUS","1","2","1.00","0.00","0","0.00","6.00","4.valued members"
"149058","8","51","F","false","true","usa","birmingham","BHM","5","10","1.20","181.02","25","5373.00","5.80","1.golden guests"
"152583","8","37","F","false","false","usa","colorado springs","COS","1","2","1.00","0.00","2","426.00","8.00","4.valued members"
"153982","8","45","F","false","true","canada","toronto","YKZ","3","6","1.00","0.00","4","681.00","8.67","3.family & friends"
"160754","8","46","F","true","true","usa","new york","LGA","1","2","1.00","0.00","2","428.00","11.00","3.family & friends"
"164522","8","48","F","true","false","usa","kansas city","MCI","1","2","1.00","311.90","13","3029.00","8.00","4.valued members"
"167852","8","18","F","false","false","usa","tampa","MCF","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"171470","8","24","F","false","false","usa","atlanta","ATL","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"174997","8","32","F","false","false","usa","grand rapids","GRR","2","4","1.00","0.00","4","448.00","7.50","4.valued members"
"175032","9","29","F","false","false","usa","houston","IAH","3","4","2.00","0.00","13","3243.60","5.50","4.valued members"
"181157","8","53","F","true","false","usa","houston","HOU","3","6","2.00","455.63","10","4987.80","5.33","4.valued members"
"182191","8","19","F","false","true","usa","phoenix","PHX","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"187212","8","55","F","true","true","usa","los angeles","LAX","3","6","1.00","0.00","6","904.00","8.00","3.family & friends"
"189676","8","36","F","false","true","usa","fort worth","FTW","2","2","3.00","0.00","18","5001.00","4.00","3.family & friends"
"190866","9","37","F","false","false","usa","tallahassee","TLH","5","10","1.00","0.00","9","1359.00","7.20","4.valued members"
"195192","8","28","F","false","false","usa","chicago","MDW","1","2","2.00","0.00","1","320.00","15.00","4.valued members"
"204943","8","41","M","false","false","canada","ottawa","YOW","5","10","1.60","240.82","14","3820.00","8.00","1.golden guests"
"204997","8","38","F","true","false","usa","kansas city","MCI","2","4","1.00","0.00","4","284.00","7.00","4.valued members"
"205044","9","40","F","true","true","canada","toronto","YKZ","3","6","2.00","525.40","14","5642.00","6.00","3.family & friends"
"206011","8","39","F","false","true","usa","kansas city","MCI","4","8","1.00","414.54","8","1055.00","5.50","3.family & friends"
"216796","8","23","F","false","false","usa","cincinnati","CVG","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"217114","9","20","O","true","true","usa","long beach","LGB","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"217136","8","39","F","false","true","usa","little rock","LIT","2","2","1.00","0.00","4","659.00","7.00","3.family & friends"
"220725","9","40","F","false","false","usa","stockton","SCK","3","6","1.00","0.00","7","962.00","5.00","4.valued members"
