"user_id","perk_catagory","perk"
"531931","4.valued members","Complimentary meal at the airport / the hotel"
"611065","4.valued members","Complimentary meal at the airport / the hotel"
"586762","4.valued members","Complimentary meal at the airport / the hotel"
"229330","4.valued members","Complimentary meal at the airport / the hotel"
"536035","4.valued members","Complimentary meal at the airport / the hotel"
"513030","4.valued members","Complimentary meal at the airport / the hotel"
"477730","1.golden guests","VIP lounge at the airport and 1 night at the hotel with free meal voucher"
"570821","3.family & friends","1 free check-in bag with a complimentary meal"
"517076","4.valued members","Complimentary meal at the airport / the hotel"
"585248","3.family & friends","1 free check-in bag with a complimentary meal"
"539267","4.valued members","Complimentary meal at the airport / the hotel"
"611954","4.valued members","Complimentary meal at the airport / the hotel"
"577541","4.valued members","Complimentary meal at the airport / the hotel"
"524607","4.valued members","Complimentary meal at the airport / the hotel"
"549579","4.valued members","Complimentary meal at the airport / the hotel"
"547266","4.valued members","Complimentary meal at the airport / the hotel"
"532119","1.golden guests","VIP lounge at the airport and 1 night at the hotel with free meal voucher"
"562032","4.valued members","Complimentary meal at the airport / the hotel"
"545879","4.valued members","Complimentary meal at the airport / the hotel"
"630176","3.family & friends","1 free check-in bag with a complimentary meal"
"517324","2.honorable seniors","Complimentary meal at the airport / the hotel with travel guide"
"539953","3.family & friends","1 free check-in bag with a complimentary meal"
"577944","2.honorable seniors","Complimentary meal at the airport / the hotel with travel guide"
"565601","5.nobel newcomers","30% off first travel"
"531109","3.family & friends","1 free check-in bag with a complimentary meal"
"555478","4.valued members","Complimentary meal at the airport / the hotel"
"528158","4.valued members","Complimentary meal at the airport / the hotel"
"521708","4.valued members","Complimentary meal at the airport / the hotel"
"629952","4.valued members","Complimentary meal at the airport / the hotel"
"520265","3.family & friends","1 free check-in bag with a complimentary meal"
"512831","4.valued members","Complimentary meal at the airport / the hotel"
"548123","5.nobel newcomers","30% off first travel"
"586811","3.family & friends","1 free check-in bag with a complimentary meal"
"527346","4.valued members","Complimentary meal at the airport / the hotel"
"585492","4.valued members","Complimentary meal at the airport / the hotel"
"515516","5.nobel newcomers","30% off first travel"
"553985","4.valued members","Complimentary meal at the airport / the hotel"
"523395","4.valued members","Complimentary meal at the airport / the hotel"
"528281","4.valued members","Complimentary meal at the airport / the hotel"
"548872","3.family & friends","1 free check-in bag with a complimentary meal"
"454661","4.valued members","Complimentary meal at the airport / the hotel"
"499461","4.valued members","Complimentary meal at the airport / the hotel"
"512193","3.family & friends","1 free check-in bag with a complimentary meal"
"510365","4.valued members","Complimentary meal at the airport / the hotel"
"556019","4.valued members","Complimentary meal at the airport / the hotel"
"469824","4.valued members","Complimentary meal at the airport / the hotel"
"494590","4.valued members","Complimentary meal at the airport / the hotel"
"559441","2.honorable seniors","Complimentary meal at the airport / the hotel with travel guide"
"522276","4.valued members","Complimentary meal at the airport / the hotel"
"651491","4.valued members","Complimentary meal at the airport / the hotel"
"534842","4.valued members","Complimentary meal at the airport / the hotel"
"539493","5.nobel newcomers","30% off first travel"
"529602","3.family & friends","1 free check-in bag with a complimentary meal"
"550459","4.valued members","Complimentary meal at the airport / the hotel"
"204997","4.valued members","Complimentary meal at the airport / the hotel"
"559758","3.family & friends","1 free check-in bag with a complimentary meal"
"564596","3.family & friends","1 free check-in bag with a complimentary meal"
"494985","1.golden guests","VIP lounge at the airport and 1 night at the hotel with free meal voucher"
"512443","3.family & friends","1 free check-in bag with a complimentary meal"
"474278","5.nobel newcomers","30% off first travel"
"536099","3.family & friends","1 free check-in bag with a complimentary meal"
"561846","4.valued members","Complimentary meal at the airport / the hotel"
"499366","4.valued members","Complimentary meal at the airport / the hotel"
"584531","3.family & friends","1 free check-in bag with a complimentary meal"
"513714","4.valued members","Complimentary meal at the airport / the hotel"
"220725","4.valued members","Complimentary meal at the airport / the hotel"
"510067","3.family & friends","1 free check-in bag with a complimentary meal"
"549777","3.family & friends","1 free check-in bag with a complimentary meal"
"518041","4.valued members","Complimentary meal at the airport / the hotel"
"508912","4.valued members","Complimentary meal at the airport / the hotel"
"606635","4.valued members","Complimentary meal at the airport / the hotel"
"526445","4.valued members","Complimentary meal at the airport / the hotel"
"566749","5.nobel newcomers","30% off first travel"
"515409","3.family & friends","1 free check-in bag with a complimentary meal"
"577386","4.valued members","Complimentary meal at the airport / the hotel"
"516556","3.family & friends","1 free check-in bag with a complimentary meal"
"501794","4.valued members","Complimentary meal at the airport / the hotel"
"519853","3.family & friends","1 free check-in bag with a complimentary meal"
"552653","4.valued members","Complimentary meal at the airport / the hotel"
"524080","4.valued members","Complimentary meal at the airport / the hotel"
"592372","4.valued members","Complimentary meal at the airport / the hotel"
"523771","3.family & friends","1 free check-in bag with a complimentary meal"
"525176","2.honorable seniors","Complimentary meal at the airport / the hotel with travel guide"
